rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
297,妈妈,5.24,ma1 ma5,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",yes
298,应用,5.24,ying4 yong4,"to put to use; to apply; practical; applied (science, linguistics etc); application; practical use; (computing) app",yes
299,最终,5.24,zui4 zhong1,final; ultimate,yes
300,汽车,5.24,qi4 che1,car; automobile; bus; CL:輛|辆[liang4],yes
301,空间,5.24,kong1 jian1,"space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space",yes
302,终于,5.24,zhong1 yu2,at last; in the end; finally; eventually,yes
303,设备,5.24,she4 bei4,equipment; facilities; installations; CL:個|个[ge4],yes
304,足球,5.24,zu2 qiu2,soccer; football; a soccer ball; a football (CL:個|个[ge4]),yes
305,里面,5.24,li3 mian4,variant of 裡面|里面[li3 mian4],yes
306,领域,5.24,ling3 yu4,domain; sphere; field; territory; area,yes
307,几乎,5.23,ji1 hu1,almost; nearly; practically,yes
308,分钟,5.23,fen1 zhong1,minute,yes
309,意义,5.23,yi4 yi4,sense; meaning; significance; importance; CL:個|个[ge4],yes
310,文章,5.23,wen2 zhang1,"article; essay; literary works; writings; hidden meaning; CL:篇[pian1],段[duan4],頁|页[ye4]",yes
311,生命,5.23,sheng1 ming4,"life (as the characteristic of living beings); living being; creature (CL:個|个[ge4],條|条[tiao2])",yes
312,面积,5.23,mian4 ji1,"area (of a floor, piece of land etc); surface area; tract of land",yes
313,亚洲,5.22,Ya4 zhou1,Asia (abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1]),yes
314,唯一,5.22,wei2 yi1,only; sole,yes
315,居民,5.22,ju1 min2,resident; inhabitant,yes
316,所谓,5.22,suo3 wei4,what is meant by the expression ...; what is referred to as ...; (derog.) so-called,yes
317,曾经,5.22,ceng2 jing1,once; already; former; previously; ever; (past tense marker used before verb or clause),yes
318,真是,5.22,zhen1 shi5,"indeed; truly; (coll.) (used to express disapproval, annoyance etc)",yes
319,结合,5.22,jie2 he2,to combine; to link; to integrate; binding; CL:次[ci4],yes
320,统一,5.22,Tong3 yi1,7-Eleven (convenience store chain),yes
321,肯定,5.22,ken3 ding4,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer),yes
322,人士,5.21,ren2 shi4,person; figure; public figure,yes
323,大陆,5.21,Da4 lu4,mainland China (reference to the PRC),yes
324,官员,5.21,guan1 yuan2,official (in an organization or government); administrator,yes
325,引起,5.21,yin3 qi3,to give rise to; to lead to; to cause; to arouse,yes
326,明显,5.21,ming2 xian3,clear; distinct; obvious,yes
327,现场,5.21,xian4 chang3,"the scene (of a crime, accident etc); (on) the spot; (at) the site",yes
328,现象,5.21,xian4 xiang4,"phenomenon; CL:個|个[ge4],種|种[zhong3]; appearance",yes
329,确实,5.21,que4 shi2,indeed; really; reliable; real; true,yes
330,稳定,5.21,wen3 ding4,steady; stable; stability; to stabilize; to pacify,yes
331,重新,5.21,chong2 xin1,again; once more; re-,yes
332,加强,5.20,jia1 qiang2,to reinforce; to strengthen; to enhance,yes
333,强调,5.20,qiang2 diao4,to emphasize (a statement); to stress,yes
334,总是,5.20,zong3 shi4,always,yes
335,教师,5.20,jiao4 shi1,teacher; CL:個|个[ge4],yes
336,模式,5.20,mo2 shi4,mode; pattern; model,yes
337,死亡,5.20,si3 wang2,to die; death,yes
338,职业,5.20,zhi2 ye4,occupation; profession; vocation; professional,yes
339,联合,5.20,lian2 he2,to combine; to join; unite; alliance,yes
340,西方,5.20,Xi1 fang1,the West; the Occident; Western countries,yes
341,也许,5.19,ye3 xu3,perhaps; maybe,yes
